ISO3,Year,Month,Total,Domestic,International,Total_OS
ARM,2012,9,,,,162.852
ARM,2012,10,,,,150.588
ARM,2012,11,,,,129.786
ARM,2012,12,,,,136.383
ARM,2013,1,,,,112.382
ARM,2013,2,,,,91.17
ARM,2013,3,,,,102.915
ARM,2013,4,,,,116.846
ARM,2013,5,,,,125.114
ARM,2013,6,,,,145.066
ARM,2013,7,,,,179.581
ARM,2013,8,,,,197.731
ARM,2013,9,,,,169.613
ARM,2013,10,,,,162.383
ARM,2013,11,,,,135.59
ARM,2013,12,,,,153.319
ARM,2014,1,,,,128.986
ARM,2014,2,,,,100.356
ARM,2014,3,,,,121.958
ARM,2014,4,,,,136.73
ARM,2014,5,,,,171.431
ARM,2014,6,,,,208.408
ARM,2014,7,,,,242.098
ARM,2014,8,,,,265.54
ARM,2014,9,,,,197.602
ARM,2014,10,,,,179.602
ARM,2014,11,,,,144.096
ARM,2014,12,,,,148.251
ARM,2015,1,,,,131.916
ARM,2015,2,,,,99.275
ARM,2015,3,,,,117.288
ARM,2015,4,,,,144.4
ARM,2015,5,,,,158.292
ARM,2015,6,,,,176.791
ARM,2015,7,,,,212.999
ARM,2015,8,,,,227.607
ARM,2015,9,,,,171.659
ARM,2015,10,,,,155.611
ARM,2015,11,,,,130.707
ARM,2015,12,,,,153.122
ARM,2016,1,,,,137.303
ARM,2016,2,,,,113.729
ARM,2016,3,,,,133.666
ARM,2016,4,,,,131.829
ARM,2016,5,,,,147.319
ARM,2016,6,,,,175.276
ARM,2016,7,,,,227.41
ARM,2016,8,,,,255.252
ARM,2016,9,,,,220.716
ARM,2016,10,,,,205.426
ARM,2016,11,,,,168.596
ARM,2016,12,,,,189.018
ARM,2017,1,,,,168.741
ARM,2017,2,,,,132.039
ARM,2017,3,,,,165.512
ARM,2017,4,,,,183.108
ARM,2017,5,,,,198.182
ARM,2017,6,,,,211.252
ARM,2017,7,,,,270.751
ARM,2017,8,,,,281.345
ARM,2017,9,,,,245.364
ARM,2017,10,,,,220.726
ARM,2017,11,,,,178.748
ARM,2017,12,,,,192.482
AUS,2010,1,6568.0,4085.0,2483.0,
AUS,2010,2,5941.0,3911.0,2030.0,
AUS,2010,3,6554.0,4408.0,2146.0,
AUS,2010,4,6415.0,4352.0,2063.0,
AUS,2010,5,6040.0,4153.0,1886.0,
AUS,2010,6,6254.0,4158.0,2096.0,
AUS,2010,7,7034.0,4633.0,2401.0,
AUS,2010,8,6733.0,4519.0,2214.0,
AUS,2010,9,6930.0,4613.0,2316.0,
AUS,2010,10,7205.0,4832.0,2373.0,
AUS,2010,11,6804.0,4598.0,2206.0,
AUS,2010,12,7269.0,4692.0,2577.0,
AUS,2011,1,7096.0,4387.0,2709.0,
AUS,2011,2,6043.0,3923.0,2120.0,
AUS,2011,3,6647.0,4535.0,2112.0,
AUS,2011,4,6810.0,4525.0,2285.0,
AUS,2011,5,6458.0,4378.0,2079.0,
AUS,2011,6,6250.0,4094.0,2156.0,
AUS,2011,7,7216.0,4684.0,2532.0,
AUS,2011,8,6859.0,4550.0,2309.0,
AUS,2011,9,6949.0,4547.0,2402.0,
AUS,2011,10,7168.0,4691.0,2476.0,
AUS,2011,11,6880.0,4577.0,2303.0,
AUS,2011,12,7226.0,4555.0,2671.0,
AUS,2012,1,7276.0,4472.0,2804.0,
AUS,2012,2,6342.0,4121.0,2221.0,
AUS,2012,3,6978.0,4653.0,2325.0,
AUS,2012,4,6908.0,4529.0,2379.0,
AUS,2012,5,6559.0,4460.0,2099.0,
AUS,2012,6,6716.0,4355.0,2361.0,
AUS,2012,7,7434.0,4838.0,2595.0,
AUS,2012,8,7172.0,4754.0,2419.0,
AUS,2012,9,7320.0,4787.0,2533.0,
AUS,2012,10,7613.0,5040.0,2573.0,
AUS,2012,11,7349.0,4898.0,2451.0,
AUS,2012,12,7595.0,4745.0,2850.0,
AUS,2013,1,7515.0,4628.0,2887.0,
AUS,2013,2,6442.0,4128.0,2313.0,
AUS,2013,3,7221.0,4724.0,2497.0,
AUS,2013,4,7179.0,4729.0,2450.0,
AUS,2013,5,6777.0,4503.0,2274.0,
AUS,2013,6,6903.0,4435.0,2468.0,
AUS,2013,7,7848.0,5052.0,2795.0,
AUS,2013,8,7490.0,4845.0,2644.0,
AUS,2013,9,7470.0,4789.0,2681.0,
AUS,2013,10,7889.0,5180.0,2710.0,
AUS,2013,11,7360.0,4806.0,2553.0,
AUS,2013,12,7997.0,4927.0,3071.0,
AUS,2014,1,7992.0,4790.0,3202.0,12600.04
AUS,2014,2,6697.0,4207.0,2490.0,10731.179
AUS,2014,3,7277.0,4745.0,2532.0,11823.253
AUS,2014,4,7467.0,4757.0,2710.0,12026.674
AUS,2014,5,6977.0,4529.0,2449.0,11312.633
AUS,2014,6,7033.0,4447.0,2585.0,11296.644
AUS,2014,7,7956.0,4998.0,2957.0,12768.295
AUS,2014,8,7540.0,4796.0,2744.0,12158.529
AUS,2014,9,7586.0,4805.0,2781.0,12210.658
AUS,2014,10,8093.0,5239.0,2855.0,13140.036
AUS,2014,11,7436.0,4767.0,2669.0,12001.636
AUS,2014,12,8046.0,4886.0,3160.0,12757.249
AUS,2015,1,7914.0,4631.0,3283.0,12385.241
AUS,2015,2,6835.0,4183.0,2652.0,10859.13
AUS,2015,3,7594.0,4792.0,2802.0,12200.75
AUS,2015,4,7469.0,4722.0,2747.0,12013.986
AUS,2015,5,7029.0,4502.0,2527.0,11354.829
AUS,2015,6,7121.0,4433.0,2689.0,11379.639
AUS,2015,7,8203.0,5113.0,3089.0,13129.639
AUS,2015,8,7638.0,4767.0,2871.0,12226.35
AUS,2015,9,7800.0,4867.0,2933.0,12483.423
AUS,2015,10,8181.0,5159.0,3022.0,13143.209
AUS,2015,11,7741.0,4918.0,2824.0,12457.305
AUS,2015,12,8456.0,5028.0,3428.0,13294.981
AUS,2016,1,8353.0,4793.0,3560.0,12974.713
AUS,2016,2,7376.0,4441.0,2936.0,11631.188
AUS,2016,3,7958.0,4949.0,3009.0,12704.455
AUS,2016,4,7773.0,4814.0,2959.0,12384.42
AUS,2016,5,7329.0,4638.0,2691.0,11764.387
AUS,2016,6,7485.0,4579.0,2906.0,11868.052
AUS,2016,7,8564.0,5156.0,3408.0,13516.474
AUS,2016,8,7920.0,4857.0,3063.0,12562.129
AUS,2016,9,8205.0,5029.0,3176.0,13025.711
AUS,2016,10,8436.0,5210.0,3226.0,13435.015
AUS,2016,11,8047.0,5022.0,3026.0,12851.41
AUS,2016,12,8766.0,5108.0,3658.0,13668.07
AUS,2017,1,8746.0,4944.0,3802.0,13495.49
AUS,2017,2,7298.0,4327.0,2971.0,11445.309
AUS,2017,3,8031.0,4971.0,3059.0,12787.257
AUS,2017,4,8215.0,4908.0,3308.0,12922.235
AUS,2017,5,7583.0,4712.0,2871.0,12080.063
AUS,2017,6,7755.0,4661.0,3094.0,12204.838
AUS,2017,7,8809.0,5269.0,3541.0,13861.121
AUS,2017,8,8197.0,4947.0,3250.0,12884.27
AUS,2017,9,8367.0,5036.0,3330.0,13190.219
AUS,2017,10,8754.0,5384.0,3370.0,13909.423
AUS,2017,11,8373.0,5181.0,3192.0,13325.637
AUS,2017,12,9037.0,5210.0,3827.0,14038.212
AUS,2018,1,8929.0,5044.0,3885.0,
AUS,2018,2,7692.0,4505.0,3188.0,
AUS,2018,3,8561.0,5190.0,3370.0,
AUS,2018,4,8402.0,5040.0,3362.0,
AUS,2018,5,7849.0,4823.0,3027.0,
AUS,2018,6,7953.0,4676.0,3277.0,
AUS,2018,7,9108.0,5397.0,3711.0,
AUS,2018,8,8613.0,5143.0,3469.0,
AUS,2018,9,8503.0,5040.0,3463.0,
AUS,2018,10,9000.0,5452.0,3548.0,
AUS,2018,11,8511.0,5186.0,3325.0,
AUS,2018,12,9052.0,5102.0,3951.0,
AUT,2010,1,1616.764,58.839,1557.925,1682.538
AUT,2010,2,1594.077,56.496,1537.581,1656.809
AUT,2010,3,1908.254,66.905,1841.349,1981.826
AUT,2010,4,1624.357,55.7,1568.657,1687.948
AUT,2010,5,2080.848,65.071,2015.777,2157.512
AUT,2010,6,2151.684,66.718,2084.966,2236.175
AUT,2010,7,2401.499,63.735,2337.764,2484.734
AUT,2010,8,2356.612,61.833,2294.779,2438.407
AUT,2010,9,2280.317,72.0,2208.317,2374.503
AUT,2010,10,2085.698,71.383,2014.315,2176.753
AUT,2010,11,1740.819,65.968,1674.851,1817.508
AUT,2010,12,1691.526,57.468,1634.058,1763.814
AUT,2011,1,1711.33,60.509,1650.821,1777.677
AUT,2011,2,1667.77,59.811,1607.959,1730.343
AUT,2011,3,1977.449,68.759,1908.69,2047.369
AUT,2011,4,2015.846,54.77,1961.076,2067.068
AUT,2011,5,2192.972,57.841,2135.131,2253.256
AUT,2011,6,2279.147,51.863,2227.284,2333.315
AUT,2011,7,2553.335,52.868,2500.467,2610.437
AUT,2011,8,2461.844,48.947,2412.897,2514.276
AUT,2011,9,2442.374,57.654,2384.72,2508.527
AUT,2011,10,2169.417,53.775,2115.642,2229.285
AUT,2011,11,1825.947,52.189,1773.758,1880.677
AUT,2011,12,1840.181,44.67,1795.511,1883.334
AUT,2012,1,1801.994,50.187,1751.807,1850.551
AUT,2012,2,1810.625,54.098,1756.527,1865.04
AUT,2012,3,2133.74,61.032,2072.708,2195.064
AUT,2012,4,2144.869,50.114,2094.755,2193.159
AUT,2012,5,2253.364,54.706,2198.658,2309.65
AUT,2012,6,2394.37,55.998,2338.372,2454.177
AUT,2012,7,2545.147,51.556,2493.591,2598.368
AUT,2012,8,2493.086,46.282,2446.804,2538.52
AUT,2012,9,2502.746,56.901,2445.845,2561.5
AUT,2012,10,2215.188,56.215,2158.973,2269.836
AUT,2012,11,1827.408,51.762,1775.646,1876.891
AUT,2012,12,1843.44,45.825,1797.615,1883.352
AUT,2013,1,1762.653,46.59,1716.063,1803.576
AUT,2013,2,1733.91,47.94,1685.97,1777.25
AUT,2013,3,2150.535,55.356,2095.179,2201.494
AUT,2013,4,2029.996,52.036,1977.96,2079.384
AUT,2013,5,2239.011,50.007,2189.004,2287.695
AUT,2013,6,2408.193,57.791,2350.402,2465.463
AUT,2013,7,2513.804,52.007,2461.797,2561.796
AUT,2013,8,2537.606,47.393,2490.213,2582.021
AUT,2013,9,2451.674,58.67,2393.004,2507.801
AUT,2013,10,2230.866,58.248,2172.618,2286.045
AUT,2013,11,1817.948,50.801,1767.147,1867.408
AUT,2013,12,1873.528,44.446,1829.082,1914.073
AUT,2014,1,1807.004,45.671,1761.333,1847.985
AUT,2014,2,1779.141,47.773,1731.368,1823.065
AUT,2014,3,2108.523,53.182,2055.341,2157.269
AUT,2014,4,2189.347,48.62,2140.727,2233.684
AUT,2014,5,2330.573,49.781,2280.792,2382.162
AUT,2014,6,2483.1,50.612,2432.488,2539.313
AUT,2014,7,2571.197,45.891,2525.306,2619.479
AUT,2014,8,2645.521,42.866,2602.655,2695.96
AUT,2014,9,2519.181,53.872,2465.309,2580.047
AUT,2014,10,2267.695,53.444,2214.251,2326.106
AUT,2014,11,1806.834,47.772,1759.062,1859.274
AUT,2014,12,1870.56,39.511,1831.049,1913.341
AUT,2015,1,1751.044,38.497,1712.547,1794.667
AUT,2015,2,1718.104,40.494,1677.61,1763.492
AUT,2015,3,2100.017,49.578,2050.439,2153.341
AUT,2015,4,2182.653,40.618,2142.035,2225.22
AUT,2015,5,2363.428,43.331,2320.097,2408.606
AUT,2015,6,2520.214,45.867,2474.347,2571.94
AUT,2015,7,2739.213,41.815,2697.398,2781.009
AUT,2015,8,2775.665,39.414,2736.251,2815.911
AUT,2015,9,2622.134,53.111,2569.023,2678.217
AUT,2015,10,2279.362,51.179,2228.183,2337.504
AUT,2015,11,1843.174,48.42,1794.754,1897.185
AUT,2015,12,1858.999,37.286,1821.713,1899.052
AUT,2016,1,1770.425,36.725,1733.7,1809.894
AUT,2016,2,1780.026,40.069,1739.957,1825.035
AUT,2016,3,2151.897,45.15,2106.747,2197.406
AUT,2016,4,2099.28,43.443,2055.837,2144.874
AUT,2016,5,2373.298,44.119,2329.179,2416.921
AUT,2016,6,2450.672,47.094,2403.578,2497.202
AUT,2016,7,2776.608,41.053,2735.555,2816.445
AUT,2016,8,2723.254,38.659,2684.595,2759.352
AUT,2016,9,2665.489,45.82,2619.669,2711.163
AUT,2016,10,2398.405,46.315,2352.09,2446.976
AUT,2016,11,1946.072,45.268,1900.804,1997.27
AUT,2016,12,2046.085,36.863,2009.222,2085.863
AUT,2017,1,1887.141,34.142,1852.999,1932.594
AUT,2017,2,1867.912,37.073,1830.839,1915.609
AUT,2017,3,2198.6,46.662,2151.938,2255.187
AUT,2017,4,2425.716,42.999,2382.717,2472.883
AUT,2017,5,2497.696,47.426,2450.27,2552.309
AUT,2017,6,2614.609,48.319,2566.29,2668.422
AUT,2017,7,2871.073,45.094,2825.979,2922.274
AUT,2017,8,2807.833,41.742,2766.091,2851.188
AUT,2017,9,2734.285,53.678,2680.607,2796.653
AUT,2017,10,2424.628,49.816,2374.812,2485.035
AUT,2017,11,1947.157,44.931,1902.226,2003.301
